prov_ref,prov_descr
11022,pierna ap y lateral (tibia y perone)
11023,pierna lateral (tibia y perone)
11024,tobillo saltzman (estudio candidatos a artrodesis)
11025,rodilla ap y perfil
11026,rodilla lateral
11027,rodillas ambas ap bipedestacion | rodillas ambas ap bipedestacion
11028,rodilla escotadura intercondilea | rodilla escotadura intercondilea
11029,rodillas desfiladero femoropatelar 30 grados (axial rotula)
1103,coro esquerra
11030,rodillas desfiladero femoropatelar 60 grados
11031,rodillas schuss pa flexion
11032,rodilla forzada ap varo y valgo para lli y lle
11033,rodilla forzada  ap (liga. lateral externo)
11034,rodilla forzada lateral (liga.cruzado anterior)
11035,rodilla  forzada lateral (liga.cruzado posterior)
11036,femur ap tercio medio y distal | femur ap tercio medio y distal
11037,femur lateral tercio medio y distal | femur lateral  tercio medio y distal
11038,femur ap cadera y region proximal | femur ap cadera y region proximal
11039,cadera ap y axial
1104,angioplastia coronaria | angioplastia coronaria
11040,pelvis ap (bilateral de cadera)
11041,pelvis bipedestacion ap (bilateral de cadera) | pelvis bipedestacion  ap (bilateral de cadera)
11042,pelvis (bilateral de cadera) ap (protesis incluyendo vastago) | pelvis (bilateral de cadera) ap (protesis incluyendo vastago)
11043,pelvis bipedestacion (bilateral de cadera) ap (protesis incluyendo vastago) | pelvis bipedestacion  (bilateral de cadera) ap (protesis incluyendo vastago)
11044,cadera bilateral axial en patas de rana
11045,cadera  (unilateral) axial en patas de rana
11046,cadera axial trauma (cross table impingement femoroacetabular) | cadera axial trauma (cross table impingement femoroacetabular  )
11047,pelvis outlet
11048,pelvis cadera alar
11049,pelvis cadera obturatriz
1105,cierre de conducto interauricular | cierre cia | tancament de conducte interauricular
11050,cadera falso perfil de lequesne
11051,pelvis inlet
11052,sacroiliacas ambas ap | sacroiliacas ambas  ap
11053,sacroiliaca oblicua | sacroiliaca olicua
11054,sacroiliacas oblicuas de ambas articulaciones | sacroiliacas olicuas de ambas articulaciones
11055,dedo 1er  ap
11056,dedo 1er lateral
11057,dedo 1er pa forzadas (metacarpo falangica)
11058,dedo pa   (indicar cual)
11059,dedo ap i perfil (indicar cual)
1106,colocacion stent coronario | stent coronari | col.locacio  stent coronari
11060,mano pa
11061,mano lateral
11062,mano ap y oblicua
11063,manos oblicua de ambas (rotacion interna)
11064,mano oblicua  (rotacion externa)
11065,manos oblicua de ambas  (rotacion externa)
11066,dedos en abanico
11067,carpo pa y lateral
11068,carpo lateral
11069,escafoides pa y perfil
11070,escafoides pa con desviacion radial
11071,tunel carpiano axial
11072,antebrazo ap  (cubito y radio)
11073,antebrazo ap y perfil
11074,codo ap
11075,codo ap (2 proyecciones imposibilidad de extension)
11076,codo oblicua  rotacion externa
11077,codo oblicua  rotacion interna
11078,codo ap y perfil
11079,codo ap flexion
1108,valvuloplastia mitral
11080,codo axiales laterales
11081,cabeza de radio lateral con mano supinada
11082,cabeza de radio lateral con mano en posicion neutra
11083,cabeza de radio lateral con mano en posicion pronada
11084,humero ap | humero ap
11085,humero lateral rotado | humero lateral rotada
11086,humero transtoracica | humero transtoracica
11087,hombro basica ap (rotacion externa del humero) | hombro basica  ap (rotacion externa humero)
11088,hombro ap (rotacion interna humero) | hombro ap (rotacion interna humero)
11089,hombro ap (rotacion neutra humero) | hombro  ap (rotacion neutra humero)
11090,hombro axial inferosuperior (lawrence)
11091,hombro ap verdadera y perfil escapula en y
11092, humero corredera bicipital
11093,escapula lateral en y
11094,escapula lateral en y (neer)
11095,hombro oblicua apical (garth)
11096,clavicula ap
11097,clavicula ap y axial
11098,articulaciones  acromioclaviculares ap ambas
11099,articulaciones acromioclaviculares ap carga
11100,escapula ap
11101,escapula lateral
11102,cervical  columna ap boca abierta c1 y c2
11103,cervical columna ap
11104,cervical columna ambas oblicuas
11105,cervical  columna lateral
11106,cervical columna ap y perfil
11107,cervicotoracica columna lateral (nadador) | cervico toracica columna lateral  (nadador)
11108,columna cervical lateral en hiperextension | cervical columna lateral en hiperextension
11109,cervical columna lateral en hiperflexion
11110,agujero occipital ap a traves c1
11111,perfil funcional lumbopelvico (sedestacion y bipedestacion) | perfil funcional lumbopelvico (sedestacion y bipedestacion)
11112,dorsal columna  ap
11113,dorsal columna lateral
11114,dorsal columna oblicua
11115,dorsal columna ap y perfil
11116,dorsal columna ambas oblicuas
11117,lumbar columna ap
11118,lumbar columna ap y perfil
11119,lumbar columna ambas oblicuas
11120,lumbar columna lateral
11121,lumbar columna lateral l5-s1
11122,lumbar  columna ap l5-s1
11123,lumbar columna lateral en flexion y extension
11124,escoliograma ap bipedestacion | escoliograma ap bipedestacion
11125,escoliograma con alza ap bipedestacion
11126,escoliograma ap con ambas inclinacioneslaterales  (bending test)
11127,escoliograma lateral
11128,sacro y coccix ap | sacro y coccix ap
11129,sacro y coccix lateral | sacro y coccix lateral
11130, esternon oblicua anterior derecha
11131,esternon lateral
11132,esterno claviculares pa articulaciones
11133,esternoclavicular oblicua articulacion
11134,esternoclaviculares oblicua ambas articulaciones
11135,parrilla costal ap torax
11136,parrilla costal hemitorax  ap
11137,parrilla costal ap 1/3 inferior hemitorax
11138,parrilla costal oblicua 1/3 inferior dehemitorax
11139,craneo ap
11140,craneo lateral
11141,huesos nasales lateral
11142,arcos cigomaticos y senos submento vertice
11143,atm boca abierta axiolateral
11144,atm  boca cerrada axiolateral
11145,atm boca abierta y boca cerrada axiolateral de ambas articulaciones
11146,ortopantomografia
11147, senos paranasales  lateral
11148,senos paranasales nasomento placa pa
11149,cefalometria | cefalometria
11150, silla turca lateral
11151,hombro artrografia |  hombro artrografia
11152,cadera artrografia | cadera artrografia
11153,rodilla artrografia
11156, carpo artrografia
11157,infiltracion (indicar localizacion y caracteristicas) | infiltracion (indicar localizacion y caracteristicas)
11158,biopsia osea (indicar localizacion)
11159,discografia (indicar localizacion)
11160,seriada osea metastasis
11161,seriada osea mieloma
11162,seriada osea hiperparatiroidismo
11163,seriada osea neonatal
11164,rodilla oblicua
11165,cadera dunn (axial bipedestacion flexion 45 rotacion externa 20 impingement femo | cadera dunn (axial bipedestacion flexion 45 rotacion externa 20  impingement fem
11166,dorsolumbar columna ap (charnela centrado en  d12)
11167,dorsolumbar columna p (charnela centrado en  d12)
11168,visita enfermeria cdi
11169,protocolo de coccidinia | protocol de coccidinia
11170,rm musculoesqueletico cuerpo entero
11171,imatge de migracio
112,dieta hospitaria | dieta hospit
11201,tc hemitorax (pared toracica)
11202,tc de una costilla en concreto (indicar?cual?)
11203,tc ambas articulaciones esterno-claviculares
11204,tc esternon
11205,tc clavicula
11206,tc hombro (art. escapulo-humeral)
11207,tc brazo humero
11208,tc codo
11209,tc cubito radio antebrazo
11210,tc carpo
11211,tc mano
11212,tc de un dedo concreto (indicar cual)
11213,tc pared abdominal (requiere localitzacion clinica)
11214,tc pelvis osea (ambas caderas)
11215,tc cadera
11216,tc sacro
11217,tc sacroiliacas | tc sacroiliacas
11218,tc femur | tc femur
11219,tc ambos femures | tc ambos  femures
11220,tc rodilla
11221,tc rodilla (protesis protocolo perth)
11222,tc rodilla ta gt
11223,tc pierna tibia perone | tc pierna tibia perone
11224,tc tobillo (incluyendo los huesos del tarso no metatarso)
11225,tc antepie metatarso dedos | tc antepie metatarso  dedos
11226,tc estudio torsional extremidad inf. (cadera rodilla tobillo)
11229,tc m-esquel.paaf (requiere localitzacion clinica) | tc m-esquel.paaf  (requiere localitzacion clinica)
11230,tc m-esquel. biopsia partes blandas  (requiere localitzacion clinica)
11231,tc m-esquel. biopsia osea  (requiere localitzacion clinica)
11232,tc m-esquel.con drenaje  (requiere localitzacion clinica)
11233,tc columna  infiltracion apofisarias  (requiere localitzacion clinica)
11234,tc alcoholizacion  (requiere localitzacion clinica)
11235,tc radiofrecuencia  (requiere localitzacion clinica)
11236,tc vertebroplastia  (requiere localitzacion clinica)
11238,artrografia tc hombro
11239,artrografia tc cadera | artrografia tc cadera
11240,artrografia tc rodilla
11250,tc de columna dorsal con contraste
11252,tc de cuello con contraste
11253,rm cervical amb contrast
11254,rm cervico-dorsal amb contrast
11255,rm dorsal amb contrast
11256,rm dorso-lumbar amb contrast
11257,rm lumbar amb contrast
11258,rm sacre amb contrast
11259,rm  cap i coll amb contrast
11260,rm pelvis femenina con contraste | rm pelvis femenin amb contrast
11261,rm pelvis masculina amb contrast
11262,rm torax mediastino con contraste | rm torax mediasti amb contrast
11265,tc codo con contraste
11266,tac hueso carpo con contraste
11267,tac hueso carpo sin contraste
11270,tac muslo con contraste
11272,tac rodilla con contraste
11275,tac tobillo sin contraste
11276,tac pie con contraste
11277,tac pie sin contraste
11283,tac col. lumbar musculoesquel.s/contrast
11285,tac clavicula sin contraste
11286,tac esternon con contraste
11300,rm torax pared | rm torax pared
11301,rm costilla concreta (requiere localizacion clinica)
11302,rm torax cintura escapular | rm torax cintura escapular
11303,rm torax art. esternoclaviculares
11304,rm torax esternon
11305,rm torax clavicula
11306,rm eess hombro
11307,rm eess brazo humero
11308,rm eess codo
11309,rm eess antebrazo radio cubito
11310,rm eess carpo
11311,rm eess mano
11312,rm eess dedo
11313,rm abdomen pared musculoesqueletico
11314,rm pelvis musculoesqueletico
11315,rm cintura pelvica muscular (estudio miopatias) | rm cintura pelvica muscular (estudio miopatias)
11316,rm pelvis sacro
11317,rm pelvis sacroiliacas | rm pelvis sacroiliacas
11318,rm pelvis cadera
11319,rm eeii muslo femur | rm eeii muslo femur
11320,rm eeii rodilla
11321,rm eeii pierna tibia perone
11322,rm ambas piernas tibias perones
11323,rm eeii tobillo tarso
11324,rm eeii antepie
11325,rm ambas articulaciones temporomandibulares (atm)
11326,rm columna entera valoracion previa vertebroplastia
11327,artografia rm hombro | artrografia rm hombro
11328,artografia rm cadera | artrografia rm cadera
11329,artografia rm rodilla | artrografia rm rodilla
11330,artrografia rm tobillo
11332,artrografia rm carpo
11333,rm eeii total
11334,rm espectroscopia lipidos musculares
11335,rm espectroscopia tumoral
11336,rm osea total difusion
11337,rm valoracion sinovitis (especificar loclizacion)
11338,rm valoracion cartilago (especificar loclizacion)
11339,rm funcional ligamentoplastia
11400,ecografia hombro | ecografia hombro
11401,ecografia brazo
11402,ecografia codo | ecografia codo
11403,ecografia antebrazo
11404,ecografia carpo | ecografia carpo
11405,ecografia mano | ecografia mano
11406,ecografia carpo mano bilateral
11407,ecografia un dedo concreto (indicar cual) | ecografia un dedo concreto (indicar cual?)
11408,ecografia cadera | ecografia cadera
11409,ecografia ambas caderas (displasia del desarrollo pediatria)
11410,ecografia muslo | ecografia muslo
11411,ecografia rodilla | ecografia rodilla
11412,ecografia pierna | ecografia pierna
11413,ecografia tobillo | ecografia tobillo
11414,ecografia pie | ecografia pie
11415,pared toracica (especificar localizacion) | pared toracica (especificar loclizacion)
11416,pared abdominal (especificar localizacion) | pared abdominal (especificar loclizacion)
11417,ecografia me artocentesis
11418,ecografia me tt percutaneo tendinitis calcica  (especificar localizacion)
11419,ecografia me drenaje (especificar loclizacion)
11420,ecografia me paaf (especificar loclizacion)
11421,ecografia me biopsia (especificar localizacion) | ecografia me biopsia (especificar loclizacion)
11422,ecografia me infiltracion (especificar loclizacion)
11423,ecografia me radiofrecuencia (especificar loclizacion)
11424,ecografia me sinoviortesis (especificarloclizacion)
11500,angio - tc aorta toracica | angio - tc  aorta toracica
11501,angio - tc protocolo tavi | angiotc protocol tavi
11502,angio - tc de extremidades superiores
11503,angio - tc de aorta abdominal
11504,angio - tc de aorta abdominal  para valoracion aneurisma
11505,angio - tc de arterias renales
11506,angio -tc de arterias digestivas
11507,angio - tc de aorta abdominal y de ee.ii.
11510,angio  - rm estudio arterial extremidades
11511,flebografia por rm de  extremidades
11512,angio - tc dinamica
11514,arteriografia de miembros inferiores bilateral
11515,arteriografia de miembros inferiores unilateral | arteriografia de miembros inferiores unilateral
11516,arteriografia de miembros superiores bilateral
11517,arteriografia de miembros superiores unilateral
11518,aortografia abdominal | aortografia abdominal
11519,aortografia toracica
11520,arteriografia pulmonar
11521,arteriografia por via venosa
11524,arteriografia renal | arteriografia renal
11525,arteriografia suprarenal
11526,arteriografia pelvica | arteriografia pelvica
11527,arteriografia bronquial
11528,arteriografia pulmonar selectiva
11529,arteriografia visceral digestiva | arteriografia visceral digestiva
11530,arteriografia intercostal
11531,arteriografia de la mamaria interna
11532,arteriogafia con co2
11534,flebografia de miembros inferiores bilateral
11535,flebografia de miembro inferior unilateral
11536,flebografia de miembros superiores bilateral | flebografia de miembros superiores bilateral
11537,flebografia de miembro superior unilateral
11538,iliocavografia
11539,cavografia superior
11542,flebografia venas hepaticas
11543,flebografia renal
11544,flebografia espermatica u ovarica bilateral
11545,flebografia espermatica u ovarica unilateral
11546,otras flebografias
11547,estudio fistula arteriovenosa hemodialisis
11550,"renal, suprarenal (extraccion, muestrasvenosas)"
11552,"pancreatica (extraccion, muestras venosas)"
11553,toma de presiones (manometria venosa)
11554,trombectomia fistula a.v. hemodiliasis con colocacion de stent recubierto
11555,trombectomia protesis vascular de hemodiliasis con colocacion de stent no recubi
11556,trombectomia protesis vascular de hemodiliasis con colocacion de stent recubiert
11557,angioplastia fistula a.v. hemodiliasis compleja (acceso femoral y fav)
11558,angioplastia fistula a.v. hemodialisis con colocacion de stent no recubierto | angioplastia fistula a.v. hemodiliasis con colocacion de stent no recubierto
