lab_sap_ref,lab_descr,units,lab_ref
LAB2DL2_1,2DL2*001/2/3/5,N.D.,417
LAB2DL2_4,2DL2*004,N.D.,418
LAB2DL3,2DL3,N.D.,419
LAB2DL4,2DL4,N.D.,420
LAB2DL5,2DL5,N.D.,421
LAB2DP1,2DP1,N.D.,422
LAB2DS1,2DS1,N.D.,423
LAB2DS2,2DS2,N.D.,424
LAB2DS3,2DS3,N.D.,425
LAB2DS4,2DS4,N.D.,426
LAB2DS4D5,2DS4 Delección Exó 5,N.D.,427
LAB2DS4P5,2DS4 Preséncia Exó 5,N.D.,428
LAB2DS5,2DS5,N.D.,429
LAB3000,COMENTARI ORINA,N.D.,4218
LAB3017,Zinc teixit,N.D.,430
LAB3018,Cobre en tejido,N.D.,431
LAB3019,Hierro en tejido,N.D.,432
LAB3039,pH líquid,N.D.,433
LAB3040,Procalcitonina serum,ng/mL,434
LAB3041,Interleucina 8,pg/mL,435
LAB3046,Sodi orina recent,N.D.,436
LAB3047,Potasi orina,N.D.,437
LAB3070,pH arterial,N.D.,438
LAB3071,pCO2 sangre arterial,mmHg,439
LAB3072,pO2 sangre arterial,mmHg,440
LAB3073,"Bicarbonato actual, sangre arter",mmol/L,441
LAB3074,TCO2 arterial,mmol/L,442
LAB3075,Exceso de base sangre arterial,mmol/L,443
LAB3076,"Bicarbonato estandard, sangre ar",mmol/L,444
LAB3077,Saturacion de oxigeno %  sangre,%,445
LAB3082,pH venos,N.D.,446
LAB3083,pCO2 sangre venosa,mmHg,447
LAB3084,pO2 sangre venosa,mmHg,448
LAB3085,"Bicarbonato actual, sangre venos",mmol/L,449
LAB3086,TCO2 venosa,mmol/L,450
LAB3087,Exceso de base sangre venosa,mmol/L,451
LAB3088,"Bicarbonato estandard, sangre ve",mmol/L,452
LAB3089,Saturacion de oxigeno %  sangre,%,453
LAB3093,Glucosa líquid articular,N.D.,454
LAB3094,Proteïnes líquid articular,N.D.,455
LAB3095,LDH líquid articular,N.D.,456
LAB3097,Comentario Bioquimic,N.D.,4219
LAB3098,"Coriogonadotropina cualitativa,",N.D.,457
LAB3100,"Hematies, LCR",N.D.,458
LAB3101,"Células nucleadas, LCR",/mm³,459
LAB3104,"Hematies, líquid ascític",N.D.,460
LAB3105,"Células nucleadas, líquido ascít",/mm³,461
LAB3107,"Células nucleadas, líquido pleur",/mm³,462
LAB3108,"Hematies, líquid pleural",/mm³,463
LAB3110,"Células nucleadas, otros líquido",/mm³,464
LAB3111,"Hematíes, altres líquids",/mm³,465
LAB3112,Sediment dorina  normal,N.D.,466
LAB3113,"Bacterias, sedimento",N.D.,467
LAB3114,"Fibra mucoide, sedimento",N.D.,468
LAB3115,Cristales de Oxalato cálcico mon,U/campo,469
LAB3116,"Cristales de Cistina, sedimento",N.D.,470
LAB3117,"Cristales de almidón, sedimento",N.D.,471
LAB3118,"Cristales de Bilirrubina, sedime",N.D.,472
LAB3119,"Cristales de Colesterol, sedimen",N.D.,473
LAB3200,Ac adenovirus. Primera mostra,N.D.,4220
LAB3204,Ac Brucella,N.D.,474
LAB3206,Ac Brucella. Rosa de Bengala,N.D.,475
LAB3212,Ac Chlamydia psittaci. Primera,N.D.,4221
LAB3215,Ac Echinococcus,N.D.,476
LAB3216,ENTEROVIRUS Ac.,N.D.,4983
LAB3217,Ac Fasciola hepatica,N.D.,477
LAB3218,Ac heterófilos v.Epstein-Barr,N.D.,478
LAB3219,Ac Leptospira,N.D.,4222
LAB3220,IgG Mycoplasma pneumoniae,N.D.,479
LAB3229,Ac Schistosoma,N.D.,480
LAB3234,VIH 1/2 Anticossos + Antígen p,N.D.,481
LAB3236,Ac v.influenza A. Primera most,N.D.,4223
LAB3239,Ac v.influenza B. Primera most,N.D.,4224
LAB3242,Ac v.parainfluenza 1. Primera,N.D.,4225
LAB3245,Ac v.parainfluenza 2. Primera,N.D.,4226
LAB3248,Ac v.parainfluenza 3. Primera,N.D.,4227
LAB3251,"Ac v.poliomielitis 1,2,3",N.D.,4228
LAB3252,Ac v.respiratori sincitial. Pr,N.D.,4229
LAB3255,Acs IgG v. rubéola,UI/mL,482
LAB3256,Ac IgG v. varicel·la-zoster,N.D.,483
LAB3259,Ac Yersinia 0:3,N.D.,484
LAB3260,Ac Yersinia 0:9,N.D.,485
LAB3262,Ag p24 v.immunodeficiencia human,N.D.,486
LAB3265,Antigeno e v.hepatitis B,N.D.,487
LAB3266,Antígeno superficie v. hepatitis,N.D.,488
LAB3268,Antigeno v.hepatitis delta,N.D.,489
LAB3269,Antigenèmia citomegalovirus,/2x10^5 PMNSP,4230
LAB3270,DNA v.hepatitis B,N.D.,4231
LAB3271,IgG ag superficie VHB. Quantit,N.D.,490
LAB3272,IgG antigen core v.hepatitis B,N.D.,491
LAB3273,IgG antigen e v.hepatitis B,N.D.,492
LAB3276,IgG Bordetella pertussis.Estat,N.D.,493
LAB3277,IgG Borrelia burgdorferi,N.D.,4232
LAB3278,IgG Borrelia burgdorferi LCR,N.D.,4233
LAB3281,IgG citomegalovirus (EIA),N.D.,494
LAB3282,IgG Clostridium tetani,N.D.,495
LAB3283,IgG Corynebacterium diphteriae,N.D.,496
LAB3284,IgG Coxiella burnetti,N.D.,497
LAB3285,IgG Chlamydophila pneumoniae,N.D.,498
LAB3286,IgG Chlamydia trachomatis,N.D.,499
LAB3287,IgG Entamoeba histolytica,N.D.,500
LAB3288,IgG Legionella pneumophila,N.D.,4234
LAB3289,IgG Leishmania,N.D.,501
LAB3290,IgG parvovirus B19,N.D.,502
LAB3291,IgG Plasmodium falciparum,N.D.,503
LAB3292,IgG Rickettsia conorii,N.D.,504
LAB3294,IgG Toxoplasma (EIA),N.D.,505
LAB3296,IgG Toxoplasma. Fetus,N.D.,4235
LAB3297,IgG Toxoplasma. LCR,N.D.,506
LAB3298,LUES FTA IgG,N.D.,4987
LAB3299,IgG Trichinella,N.D.,507
LAB3300,IgG Trypanosoma brucei brucei,N.D.,508
LAB3301,IgG v.dengue,N.D.,509
LAB3302,IgG v.hepatitis A,N.D.,510
LAB3303,IgG v.hepatitis C,N.D.,511
LAB3304,IgG v.hepatitis C. Confirmació,N.D.,512
LAB3306,HD Ac (EIA),N.D.,4236
LAB3307,IgG v.herpes humà 6,N.D.,513
LAB3308,IgG v.herpes simple,N.D.,514
LAB3309,IgG v.parotiditis,N.D.,515
LAB3311,IgG v.xarampió,N.D.,516
LAB3313,IgG VIH 1/2. Confirmació,N.D.,517
LAB3314,IgG virus Epstein-Barr,N.D.,518
LAB3315,IgM antigen core v.hepatitis B,N.D.,519
LAB3317,IgM Bordetella pertussis,N.D.,4237
LAB3318,IgM citomegalovirus,N.D.,520
LAB3319,IgM Coxiella burnetti,N.D.,521
LAB3320,IgM Chlamydophila pneumoniae,N.D.,522
LAB3321,IgM Chlamydia trachomatis,N.D.,523
LAB3322,IgM Entamoeba histolytica,N.D.,524
LAB3323,IgM Leishmania,N.D.,525
LAB3325,IgM Mycoplasma pneumoniae,N.D.,526
LAB3326,IgM parvovirus B19,N.D.,527
LAB3327,IgM Plasmodium falciparum,N.D.,528
LAB3328,IgM Rickettsia conorii,N.D.,529
LAB3330,IgM Toxoplasma,N.D.,530
LAB3331,IgM Toxoplasma (LCR),N.D.,531
LAB3332,IgM Toxoplasma. Fetus,N.D.,4238
LAB3335,IgM Trypanosoma,N.D.,532
LAB3336,IgM v.dengue,N.D.,533
LAB3337,IgM v.Epstein-Barr,N.D.,534
LAB3338,IgM v.hepatitis A,N.D.,535
LAB3339,IgM v.herpes humà 6,N.D.,536
LAB3340,IgM v.parotiditis,N.D.,537
LAB3342,Acs IgM v. rubéola,N.D.,538
LAB3343,Ac IgM v. varicela-zoster,N.D.,539
LAB3344,IgM v.xarampió,N.D.,540
LAB3348,Prova reagínica lues. VDRL,N.D.,541
LAB3349,RNA v.hepatiris C,N.D.,4239
LAB3350,RNA v.hepatitis C. Quantitatiu,N.D.,542
LAB3405,LOGARITMO CCVIH,N.D.,4931
LAB3406,Carga Viral VIH 1(PCR),cp/mL,543
LAB3407,Anticuerpos anti-HTLV I/II,N.D.,544
LAB3427,Ac IgG anti-B-burdorferi,N.D.,545
LAB3428,Ac IgM anti-B-burdorferi(WB),N.D.,546
LAB3505,Transferrina,g/L,547
LAB3506,Alfa-1 glicoproteina ácida,g/L,548
LAB3508,Ácido hialurónico,µg/L,549
LAB3522,VITAMINA B2,N.D.,5015
LAB3525,Ac ANTIENDOMICIO,N.D.,4970
LAB3528,Receptors TNF-1,ng/mL,4240
LAB3529,Receptors de TNF-2,ng/mL,4241
LAB3536,Fosforo orina 24h,mg/24h,550
LAB3551,PSA libre,%,551
LAB3579,NTX telopeptido N colageno,nMol/mMol,552
LAB3581,Propeptido n colageno,ng/mL,553
LAB3671,Topiramato en sèrum,N.D.,554
LAB3712TRI,"3a,7a,12a-Trihidroxicoprosta",ng/mL,555
LAB3760,"Cadenes L-Lambda, orina",mg/L,4242
LAB3799,Amikacina en sèrum post 8 hore,µg/mL,4243
LAB3800,Gabapentina en sèrum,N.D.,556
LAB3801,Gabapentina en orina,µg/mL,557
LAB3802,Citalopram en sérum,ng/mL,558
LAB3807,Acido folico serum,ng/mL,559
LAB3809,Vitamina B12,pg/mL,560
LAB3810,Ferritina,ng/mL,561
LAB3871,"Cadenes L-Kappa, orina",mg/L,4244
LAB3DL1,3DL1,N.D.,562
LAB3DL2,3DL2,N.D.,563
LAB3DL3,3DL3,N.D.,564
LAB3DP1,3DP1,N.D.,565
LAB3DS1,3DS1,N.D.,566
LAB3DS1_49,3DS1_49,N.D.,567
LAB3E,Ac IgG anti-3E(BPO),N.D.,568
LAB3METO,"3-metoxitiramine, orina 24h",microg/24h,569
LAB3MH,3-metil histidina sérum,µmol/L,570
LAB3MHIS,"3-metil-histidina (3MH), orina",mmol/mol creat.,571
LAB3PGME,"3-Fosfoglicerat mutasa, sangre t",UI/gHb,572
LAB4066,Confirmación Hbs Ag (EIA),N.D.,573
LAB4068,Alfa 1 Anti-Tripsina,g/L,574
LAB4069,Haptoglobina serum,g/L,575
LAB4070,Prealbumina serum,g/L,576
LAB4071,"Ceruloplasmina, sérum",g/L,577
LAB4072,Prot.transportadora retinol (R,N.D.,578
LAB4073,Malondialdheid sèrum,N.D.,579
LAB4079,Nivell de maduraciò pulmonar (,N.D.,4245
LAB4081,Hemoglobina perfil básic orina,N.D.,580
LAB4082,"Glucosa, líquid",mg/dL,581
LAB4083,"Proteïnes, líquid",g/L,582
LAB4084,"Bilirrubina, liquido",mg/dL,583
LAB4085,"Amilasa, líquido",U/L,584
LAB4086,Centrifuga líquido variable,N.D.,585
LAB4088,Etanol en saliva,N.D.,586
LAB4090,NITROGEN FEMTA,N.D.,4981
LAB4091,AIGUA EN FEMTA,N.D.,4980
LAB4092,PSA lliure concentració,N.D.,587
LAB4093,Hematòcrit capil.lar,N.D.,588
LAB4094,Lípids totals femta,mg LT/g femta,4246
LAB4097,Cilindres cel.lulars sedi orin,N.D.,4247
LAB4100,Genotipat del virus de la hepa,N.D.,589
LAB4101,Genotips VHC resultat prelimin,N.D.,4248
LAB4102,Cristalls de leucina sedi orin,N.D.,4249
LAB4103,"Cristales de Tirosina, sedimento",U/campo,590
LAB4104,"Células mesoteliales, LCR",%,591
LAB4105,CELS.MONONUCL.LIQ.,%,4250
LAB4106,"Eosinófilos, LCR",N.D.,592
LAB4107,"Células nucleadas, líquido artic",/mm³,593
LAB4108,"Limfòcits, LCR",%,594
LAB4109,"Macròfags, LCR",%,595
LAB4110,"Monocits, LCR",N.D.,596
LAB4111,"Neutròfils, LCR",%,597
LAB4112,"Células plasmáticas, LCR",N.D.,598
LAB4131,"LDH, líquid",N.D.,599
LAB4146,ACID ASPARTIC,N.D.,5008
LAB4151,Cromogranina A,ng/mL,600
LAB4176,Melanoma Inhibitory activity,N.D.,601
LAB4189,CD23 soluble,U/mL,602
LAB4208,Dossificación de IgD sérica,UI/mL,603
LAB4209,Desmetilcitalopram,ng/mL,604
LAB4210,"Didesmetilcitalopram, sérum",ng/mL,605
LAB4216,Interleucina 6 en orina,N.D.,606
LAB4217,Factor necrosis tumoral alfa en,pg/mL,607
LAB4219,Clozapina,ng/mL,608
LAB4220,Norclozapina,ng/mL,609
LAB4221,Oxcarbazepina,N.D.,610
LAB4222,10-Hidroxioxcarbazepina,µg/mL,611
LAB4225,"Ácido delta-aminolevulínico, ori",mmol/mol creat.,612
LAB4229,"Porfibilinogen, orina",mmol/mol creat.,613
LAB4232,"Porfirines totals, femta",N.D.,614
LAB4233,"Protoporfirina IX, femta",nmol/g f.s.,4251
LAB4234,Protoporfirines en hematies,µg/dL,4252
LAB4240,Nefronoptisis,N.D.,4253
LAB4242,Cariot.sang.perif.,N.D.,4254
LAB4244,Car.sang.per.hemat.,N.D.,4255
LAB4245,Cariot.médula ósea,N.D.,4256
LAB4255,Gen DAZ,N.D.,615
LAB4257,Ataxia Friedreich,N.D.,616
LAB4258,Estudio Fibrosis Quística (#) (5,N.D.,617
LAB4260,Gen Alfa 1 Antitripsina,N.D.,618
LAB4261,Deteción del gen SRY,N.D.,619
LAB4262,Síndrome X-frágil,N.D.,620
LAB4263,Alzheimer Presenil Familiar (P,N.D.,621
LAB4265,"Hemocromatosi (HFE), sang tota",N.D.,622
LAB4266,Estudio de ligamiento,N.D.,623
LAB4268,Acondroplasia,N.D.,624
LAB4269,Genotipat APO E,N.D.,625
LAB4270,Hipoacondroplasia,N.D.,626
LAB4271,Enfermedad de Wilson,N.D.,4257
LAB4272,Síndrome de Norrie,N.D.,4258
LAB4275,Proteina FMRP,N.D.,4259
LAB4277,Atrofia dentatorubropallidoluisi,N.D.,627
LAB4278,Atax. EspinCere AD SCA1,N.D.,628
LAB4280,Atax. EspinCere AD SCA2,N.D.,629
LAB4281,Atax. EspinCere AD SCA3,N.D.,630
LAB4284,Atax. EspinCere AD SCA6,N.D.,631
LAB4285,Atax. EspinCere AD SCA7,N.D.,632
LAB4286,Atax. EspinCere AD SCA8,N.D.,4260
LAB4290,Fenilcetonuria,N.D.,633
LAB4291,Corea de Huntington,N.D.,634
LAB4293,Poliquistosis Renal Autosómica,N.D.,635
LAB4294,Poliquistosis Renal Autosómica,N.D.,636
LAB45RA,Limfòcits (CD3+CD45RA+),%,4261
LAB45RAT,Limfòcits (CD3+CD45RA+) totals,Cèls/µL,4262
LAB45ROT,Limfòcits (CD3+CD45RO+) totals,Cèls/µL,4263
LAB4D1,IgG4 Dermatophagoides pteronys,N.D.,637
LAB4D2,IgG4 específica a Dermatophago,N.D.,638
LAB4D202,IgG4 Der p 1 àcar (d202)-conc.,N.D.,639
LAB4D203,IgG4 Der p 2 àcar (d203)-conc.,N.D.,640
LAB4D205,IgG4 Der p10 Tropom.àcar(d205),N.D.,641
LAB4D209,"IgG4 específica rDer p23 àcar,",N.D.,642
LAB4E101,IgG4 Can f1 lipoc. gos(e101)-c,N.D.,643
LAB4E102,IgG4 Can f2 lipoc. gos(e102)-c,N.D.,644
LAB4E220,"IgG4 Fel d 2 gat (e220)-conc.,",N.D.,645
LAB4E226,"IgG4 Can f 5 gos(e226)-conc.,",N.D.,646
LAB4E228,IgG4 Fel d4 lipoc. Gat(e228)-c,N.D.,647
LAB4E94,"IgG4 Fel d 1 gat (e94)-conc.,s",N.D.,648
LAB4F232,IgG4 d2 Ovoalbúmina(f232)conc.,mgA/L,4264
LAB4F233,IgG4 Gal d1 Ovomucoide(f233)-c,mgA/L,4265
LAB4F420,IgG4 p3 LTP Melocotón(f420)-co,N.D.,649
LAB4F425,IgG4 a8 LTP Avellana(f425)-con,N.D.,650
LAB4F76,IgG4 d4 Alfa-lactoalbúm(f76)-c,mgA/L,651
LAB4F77,IgG4 d5 Beta-lactoglob.(f77)-c,mgA/L,652
LAB4F78,IgG4 d8 Caseïna (f78)-conc.sèr,mgA/L,653
LAB4G205,IgG4 Phl p1  H.Timotea g205)-c,N.D.,654
LAB4G210,IgG4 Phl p 7 H.Timotea(g210)-c,N.D.,655
LAB4G211,IgG4 Phl p11 H.Timotea(g211)-c,mgA/L,4266
LAB4G212,IgG4 Phl p12 H.Timotea(g212)-c,N.D.,656
LAB4G215,IgG4 Phl p5b H.Timotea(g215)-c,N.D.,657
LAB4I1,IgG4 Abella (Apis mellifera),N.D.,658
LAB4I208,IgG4 Api m 1 abeja (i208)-conc,mgA/L,4267
LAB4I209,IgG4 Ves v 5 avispa (i209)-con,N.D.,659
LAB4I210,IgG4 Pol d5 avispa pap (i210)-,N.D.,660
LAB4I211,IgG4 Ves v 1 avispa (i211)-con,N.D.,661
LAB4I3,IgG4 Vespa (Vespula spp),N.D.,662
LAB4I4,IgG4 Vespa paperera (Polistes,N.D.,663
LAB4M229,IgG4 Alt a 1 Alternaria(m229)-,N.D.,664
LAB4T224,IgG4 Ole e 1 Olivo (t224)-conc,N.D.,665
LAB4T226,IgG4 Cup a 1 Ciprés (t226)-con,N.D.,666
LAB4T227,IgG4 Ole e 7 LTP Olivo(t227)-c,N.D.,667
LAB4T240,IgG4 Ole e 9 Olivo (t240)-conc,N.D.,668
LAB4W211,IgG4 j2 LTP Parietària(w211)co,N.D.,669
LAB5026,Anticuerpos antiperoxidasa,UI/mL,670
LAB5027,Anticuerpos anti-tiroglobulina (,UI/mL,671
LAB50893,Antigeno CA 19.9 liquido,U/mL,672
LAB52100,"Adenosín deaminasa (ADA), líquid",U/L,673
LAB5446DNA,N DNA,N.D.,674
LAB5447FAM,N FAMILIA:,N.D.,675
LAB5448MUE,MUESTRA,N.D.,676
LAB5449FIR,Firma:,N.D.,677
LAB5452SOL,Motivo de la solicitud,N.D.,678
LAB5453MET,Metodologia,N.D.,4268
LAB5454CON,Conclusión:,N.D.,679
LAB5500DNA,Nº DNA,N.D.,4269
LAB5501FAM,N FAMILIA:,N.D.,4270
LAB5502MUE,MUESTRA,N.D.,4271
LAB5503FIR,Firma:,N.D.,4272
LAB5504SOL,Motivo de la solicitud,N.D.,4273
LAB5505MET,Metodologia,N.D.,4274
LAB5506CON,Conclusión:,N.D.,4275
LAB5510DNA,Nº   DNA,N.D.,4276
LAB5511FAM,Nº FAMILIA:,N.D.,4277
LAB5512MUE,MUESTRA,N.D.,4278
LAB5513FIR,Firma:,N.D.,4279
LAB5514SOL,Motivo de la solicitud,N.D.,4280
LAB5515MET,Metodologia,N.D.,4281
LAB5516CON,Conclusión:,N.D.,4282
LAB5600,FERRO,ug/dL,4283
LAB5605,TRANSFERRINA,mg/dL,4284
LAB58428,Anticuerpos anti-HLA,N.D.,680
LAB5GPAI,Gen del PAI-1 -polimorfisme 4G,N.D.,681
LAB5HTR,Gen recaptació de la Serotonin,N.D.,4285
LAB5PDO,5-Pregnenediol,µg/24h,682
LAB5PTO,5-pregnentriol,µg/24h,683
LAB5RARO4,Relació CD45RA/RO en CD4+,N.D.,4286
LAB5RARO8,Relació CD45RA/RO en CD8+,N.D.,4287
LAB5THAO,5a-tetrahidro-11-dehidrocorticos,µg/24h,684
LAB5THBO,5a-tetrahidrocorticosterona,µg/24h,685
LAB5THDOCO,5a-Tetrahidrodesoxicorticosteron,µg/24h,686
LAB5THFO,5a-Tetrahidrocortisol,µg/24h,687
LAB64,"Bilirrubina, liquido pleural",mg/dL,688
LAB6CORORO,6ß-OH-cortisol,µg/24h,689
LAB6MMP,6-Metilmercaptopurina,pmol/8x108 RBC,690
LAB6PGD,"6-Fosfogluconat Deshidrogenasa,",UI/gHb,691
LAB6TGN,6-tioguanina,pmol/8x108 RBC,692
LAB7020,Antigeno superficie Hepatitis B,N.D.,693
LAB7030,"Ac VIH.1/2 (MEIA), sérum",N.D.,694
LAB7037,"Ac Hepatitis C (MEIA), sérum",N.D.,695
LAB7040,"Ac Toxoplasmosis IgG (ELFA), sér",N.D.,696
LAB7060,"Ac Rubeola IgG (ELFA), sérum",N.D.,697
LAB7080,"Ac Citomegalovirus IgG (ELFA), s",N.D.,698
LAB7109,Ac Helicobacter pylori (Aglutina,N.D.,699
LAB9HRLS,"Hidroxirisperidona,sèrum",N.D.,700
LABA1166,"Gen AT1 -polimorfisme A1166C,s",N.D.,4288
LABA1MGS,"Alfa 1 microglobulina, sèrum",N.D.,701
LABA2MACGO,Cociente Alfa 2 macroglobulina/c,mg/L,702
LABA2MAN,"Alfa 2 macroglobulina, sérum",mg/dL,703
LABA2MOS,"Alfa 2 macroglobulina, orina",mg/g creatinina,704
LABA4,"Androstendiona, sérum",ng/dL,705
LABAALCOM,Comentario (LCR),N.D.,706
LABAAMPARL,Anticossos anti-AMPAR,N.D.,4289
LABAAMPARS,Anticuerpos anti-AMPAR (CBA),N.D.,707
LABAAPCOM,Comentario,N.D.,708
LABAAPNE,Dosificación de Anticuerpos Anti,U/mL,709
LABAATP,Estudio de liberamiento plaqueta,N.D.,710
LABABAPMD,Repertori BCR per NGS dalta p,N.D.,711
LABABAPS,Repertori BCR per NGS dalta p,N.D.,712
LABABCC,GEN ABCC8,N.D.,4290
LABABCMA,Detección Anticuerpos anti-CART-,N.D.,713
LABABETA2G,Ac IgG antibeta-2-glicoproteïna,N.D.,714
LABABETA2M,Ac IgM antibeta-2-glicoproteina,N.D.,715
LABABOC,"Grup ABO, sang cordó",N.D.,716
LABABORN,Grup ABO del nadó,N.D.,717
LABABOYM,Grup ABO de la mare,N.D.,718
LABABU,"Ácido alfa-aminobutírico (ABU),",mmol/mol creat.,719
LABABUP,"Ácido alfa-aminobutírico (ABU),",µmol/L,720
LABAC19IGG,Anticuerpos Covid-19 IgG,N.D.,721
LABAC19MIG,Anticuerpos Covid-19 IgG,N.D.,722
LABACA,Distribució isoenzimàtica %A amn,N.D.,723
LABACADVLF,Estudi de mutacions familiars,N.D.,724
LABACASP2L,Anticuerpos anti-CASPR2,N.D.,725
LABACASP2S,Anticuerpos anti-CASPR2 (CBA),N.D.,726
LABACB,Beta-Galactosidasa en biopsia,nmol/h/mg prot,4291
LABACBDI,Distribució isoenzimàtica %B amn,N.D.,727
LABACBGAL,Beta-Galactosidasa en biopsia,nmol/h/mg prot,4292
LABACE,"Acetilcolinesterasa (AChe), sang",UI/gHb,728
LABACFDNA,Análisis dd-cfDNA trasplantamien,N.D.,729
LABACGMAN,Anticuerpos totales covid-19 (Ig,N.D.,730
LABACGMAT,Anticuerpos totales covid-19 (Ig,N.D.,731
LABACGMMAT,Anticuerpos totales covid-19 (Ig,N.D.,732
LABACH,"Acetil colinesterasa, líquidoo a",N.D.,733
LABACHEXA,beta-hexosaminidasa A amniócitos,N.D.,734
LABACHEXT,beta-Hexosaminidasa total amnióc,N.D.,735
LABACIALN,Anticuerpos Covid-19 IgA,N.D.,736
LABACIALT,Anticuerpos Covid-19 IgA,N.D.,737
LABACIAM,Anticuerpos Covid-19 IgM+IgA,N.D.,738
LABACIAMT,Anticuerpos Covid-19 IgM+IgA,N.D.,739
LABACIAN,Anticuerpos Covid-19 IgA,N.D.,740
LABACIAT,Anticuerpos Covid-19 IgA,N.D.,741
LABACIGGN,Ac IgG anticardiolipina,CU,742
LABACIGLN,Anticuerpos Covid-19 IgG,N.D.,743
LABACIGLT,Anticuerpos Covid-19 IgG,N.D.,744
LABACIGMN,Ac IgM anticardiolipina,CU,745
LABACIGN,Anticuerpos Covid-19 IgG,N.D.,746
LABACIGT,Anticuerpos Covid-19 IgG,N.D.,747
LABACIMLN,Anticuerpos Covid-19 IgM,N.D.,748
LABACIMLT,Anticuerpos Covid-19 IgM,N.D.,749
LABACIMN,Anticuerpos Covid-19 IgM,N.D.,750
LABACIMT,Anticuerpos Covid-19 IgM,N.D.,751
LABACLCR,"Ácido láctico, líquido cefalorra",mg/dL,752
LABACLQ,"Ácido láctico, líquido",mg/dL,753
LABACMDARL,"Anticuerpos anti-NMDAR (CBA), LC",N.D.,754
LABACMDARS,"Anticuerpos anti-NMDAR (CBA), sé",N.D.,755
LABACNMOL,"Ac anti-IgG-NMO(AQP4) (CBA), LCR",N.D.,756
LABACNMOLI,Interpretació,N.D.,757
LABACNMOS,"Ac anti-IgG-NMO(AQP4) (CBA), sér",N.D.,758
LABACNMOSI,Interpretació,N.D.,759
LABACPD,Anticuerpos anticélula parietal,N.D.,760
LABACPP,Anticossos anticèl.lula pariet,N.D.,4293
LABACRAMCO,Interpretació,N.D.,761
LABACTH,"Corticotropina (ACTH), plasma",pg/mL,762
LABACTH19,ACTH 19 hr,N.D.,763
LABACTH30,ACTH 30 min,pg/mL,764
LABACTH45,ACTH 45 min,pg/mL,765
LABACTH60,ACTH 60 min,pg/mL,766
LABACTH8,ACTH 8 hr,N.D.,767
LABACTH90,ACTH 90 min,pg/mL,768
LABACTHB,ACTH basal,pg/mL,769
LABACTYR,Acetiltirosina,µmol/L,5075
LABACVHS1G,Anticuerpos IgG anti-virus Herpe,N.D.,770
LABACVHS2G,Anticuerpos IgG anti-virus Herpe,N.D.,771
LABAD2RL,Ac. anti-D2R(Receptor 2 de Dopam,N.D.,772
LABAD2RLI,Interpretació,N.D.,773
LABAD2RS,Ac.anti-D2R(Receptor 2 de Dopami,N.D.,774
LABAD2RSI,Interpretació,N.D.,775
LABADAERSH,"Adenosina desaminasa (ADA), sang",UI/gHb,776
LABADALA,"Adenosín deaminasa (ADA), líquid",U/L,777
LABADALC,"Adenosín deaminasa (ADA), líquid",U/L,778
LABADALP,"Adenosín deaminasa (ADA), líquid",U/L,779
LABADHCYS,Adenosilhomocisteína,µmol/L,5076
LABADHP2,Estudio adhesión plaquetas al su,N.D.,780
LABADM1,"Adiponectina, sérum",µg/mL,781
LABADMED,"Adrenomedul·lina, plasma",N.D.,782
LABADNALR,HLA-A(LR),N.D.,783
LABADPPXL,Anticossos anti-DPPX,N.D.,4294
LABADPPXS,Anticossos anti-DPPX,N.D.,4295
LABADRB2,ADRB2  rs 1042714,N.D.,784
LABADRE,"Anticuerpos anticòrtex adrenal,",N.D.,785
LABADREN,"Adrenalina, plasma",pg/mL,786
LABAEG6PD,Estudio del gen G6PD,N.D.,787
LABAF11,IgE Asp f 1 Asperg. fumigatus,N.D.,788
LABAF12,IgE Asp f 1 Asp. fumigatus (m2,N.D.,789
LABAF31,IgE Asp f 3 Asperg. fumigatus,N.D.,790
LABAF32,IgE Asp f 3 Asp. fumigatus (m2,N.D.,791
LABAF41,IgE Asp f 4 Asperg. fumigatus,N.D.,792
LABAF42,IgE Asp f 4 Asp. fumigatus (m2,N.D.,793
LABAF61,IgE Asp f 6 Asperg. fumigatus,N.D.,794
LABAF62,IgE Asp f 6 Asp. fumigatus (m2,N.D.,795
LABAFC1I,Actividad funcional del C1 inhib,U/mL,796
LABAFPDP,Alfa-fetoproteina,ng/mL,797
LABAFPDPM,Alfa-fetoproteina MoMs,N.D.,798
LABAGABAAL,Anticossos anti-GABAAR,N.D.,4296
LABAGABAAS,Anticossos anti-GABAAR,N.D.,4297
LABAGABABL,Anticossos anti-GABABR,N.D.,4298
LABAGABABR,Anticuerpos anti-GABABR (CBA),N.D.,799
LABAGAGC,Analisis Genetica de la Atopia,N.D.,800
LABAGANGI,Interpretació,N.D.,801
LABAGANGS,"Ac. anti-Gangliosids IgG-IgM, sé",N.D.,802
LABAGAP,Anion Gap sangre venosa,mmol/L,803
LABAGD1A,Anticuerpos anti-GD1a,N.D.,804
LABAGD1B,Anticuerpos anti-GD1b,N.D.,805
LABAGD2,Anticuerpos anti-GD2,N.D.,806
LABAGD3,Anticuerpos anti-GD3,N.D.,807
LABAGLBCOM,Comentario,N.D.,808
LABAGLILI,Interpretació,N.D.,809
LABAGLIRL,Anticuerpos anti-GlicinaR,N.D.,810
LABAGLIRS,Anticuerpos anti-GlicinaR,N.D.,811
LABAGLISI,Interpretació,N.D.,812
LABAGLQ,"Cociente Albúmina/Globulinas, lí",N.D.,813
